,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Continent
2778,Honduras,2005,Male,Not applicable,Percent,22.5703,North America
5344,Saint Vincent and the Grenadines,2010,Female,Not applicable,Percent,22.61918,North America
4123,Mexico,1993,All genders,Not applicable,Percent,22.68381,North America
4867,Panama,1977,All genders,Not applicable,Percent,22.70456,North America
1586,Costa Rica,1977,Female,Not applicable,Percent,22.81338,North America
1576,Costa Rica,1982,All genders,Not applicable,Percent,22.856939999999998,North America
1543,Costa Rica,1996,Female,Not applicable,Percent,23.09025,North America
4869,Panama,1976,Male,Not applicable,Percent,23.10855,North America
4837,Panama,1987,All genders,Not applicable,Percent,23.121489999999998,North America
4853,Panama,1981,Female,Not applicable,Percent,23.130779999999998,North America
4858,Panama,1980,Female,Not applicable,Percent,23.19635,North America
4849,Panama,1983,All genders,Not applicable,Percent,23.20358,North America
4842,Panama,1985,Male,Not applicable,Percent,23.3091,North America
2757,Honduras,2013,Female,Not applicable,Percent,23.31227,North America
1580,Costa Rica,1981,Female,Not applicable,Percent,23.32975,North America
1830,Dominican Republic,2013,Male,Not applicable,Percent,23.34477,North America
4838,Panama,1986,All genders,Not applicable,Percent,23.45913,North America
4846,Panama,1984,Female,Not applicable,Percent,23.63271,North America
4125,Mexico,1992,All genders,Not applicable,Percent,23.65095,North America
4124,Mexico,1993,Male,Not applicable,Percent,23.73537,North America
2775,Honduras,2007,All genders,Not applicable,Percent,23.80858,North America
4866,Panama,1977,Male,Not applicable,Percent,23.89946,North America
1966,El Salvador,2008,All genders,Not applicable,Percent,23.91659,North America
2771,Honduras,2009,Male,Not applicable,Percent,23.92051,North America
1835,Dominican Republic,2011,Male,Not applicable,Percent,23.96915,North America
1971,El Salvador,2007,All genders,Not applicable,Percent,24.2949,North America
4130,Mexico,1987,All genders,Not applicable,Percent,24.45447,North America
4864,Panama,1978,Female,Not applicable,Percent,24.4627,North America
4129,Mexico,1988,All genders,Not applicable,Percent,24.491329999999998,North America
2758,Honduras,2013,All genders,Not applicable,Percent,24.55428,North America
4836,Panama,1987,Male,Not applicable,Percent,24.598879999999998,North America
4131,Mexico,1986,All genders,Not applicable,Percent,24.61448,North America
1841,Dominican Republic,1999,Female,Not applicable,Percent,24.80444,North America
4839,Panama,1986,Male,Not applicable,Percent,24.85492,North America
4850,Panama,1982,All genders,Not applicable,Percent,25.03912,North America
1824,Dominica,2002,Male,Not applicable,Percent,25.1219,North America
2774,Honduras,2008,Female,Not applicable,Percent,25.1322,North America
1837,Dominican Republic,2009,All genders,Not applicable,Percent,25.16246,North America
2767,Honduras,2010,All genders,Not applicable,Percent,25.2006,North America
4128,Mexico,1989,All genders,Not applicable,Percent,25.2552,North America
1541,Costa Rica,1996,All genders,Not applicable,Percent,25.418770000000002,North America
585,Belize,1999,Male,Not applicable,Percent,25.5066,North America
1578,Costa Rica,1982,Male,Not applicable,Percent,25.53044,North America
1544,Costa Rica,1995,Female,Not applicable,Percent,25.6247,North America
2759,Honduras,2013,Male,Not applicable,Percent,25.74436,North America
1967,El Salvador,2008,Male,Not applicable,Percent,25.76343,North America
4855,Panama,1981,All genders,Not applicable,Percent,25.796570000000003,North America
4844,Panama,1984,All genders,Not applicable,Percent,25.81677,North America
1549,Costa Rica,1994,Female,Not applicable,Percent,25.86809,North America
4829,Panama,1989,Female,Not applicable,Percent,25.90235,North America
584,Belize,1999,All genders,Not applicable,Percent,26.0042,North America
4126,Mexico,1991,All genders,Not applicable,Percent,26.068579999999997,North America
1970,El Salvador,2007,Male,Not applicable,Percent,26.147270000000002,North America
2777,Honduras,2007,Male,Not applicable,Percent,26.19205,North America
1842,Dominican Republic,1998,Female,Not applicable,Percent,26.264090000000003,North America
5323,Saint Kitts and Nevis,2000,All genders,Not applicable,Percent,26.301029999999997,North America
4848,Panama,1983,Male,Not applicable,Percent,26.429090000000002,North America
4856,Panama,1980,All genders,Not applicable,Percent,26.4322,North America
4834,Panama,1988,Female,Not applicable,Percent,26.460690000000003,North America
5319,Saint Kitts and Nevis,2009,All genders,Not applicable,Percent,26.47417,North America
4127,Mexico,1990,All genders,Not applicable,Percent,26.51645,North America
586,Belize,1999,Female,Not applicable,Percent,26.52598,North America
1587,Costa Rica,1977,All genders,Not applicable,Percent,26.5407,North America
1584,Costa Rica,1978,Male,Not applicable,Percent,26.61757,North America
4862,Panama,1978,All genders,Not applicable,Percent,26.66667,North America
1581,Costa Rica,1981,All genders,Not applicable,Percent,26.866059999999997,North America
2763,Honduras,2011,Female,Not applicable,Percent,26.98234,North America
4831,Panama,1989,All genders,Not applicable,Percent,27.00882,North America
1545,Costa Rica,1995,All genders,Not applicable,Percent,27.21175,North America
1980,El Salvador,2002,Female,Not applicable,Percent,27.261259999999996,North America
4832,Panama,1988,All genders,Not applicable,Percent,27.261509999999998,North America
2762,Honduras,2012,Female,Not applicable,Percent,27.36545,North America
1542,Costa Rica,1996,Male,Not applicable,Percent,27.63745,North America
4132,Mexico,1985,All genders,Not applicable,Percent,27.642979999999998,North America
4845,Panama,1984,Male,Not applicable,Percent,27.823420000000002,North America
1548,Costa Rica,1994,All genders,Not applicable,Percent,27.840040000000002,North America
2584,Guatemala,2013,Male,Not applicable,Percent,27.956359999999997,North America
4833,Panama,1988,Male,Not applicable,Percent,28.02255,North America
4830,Panama,1989,Male,Not applicable,Percent,28.0521,North America
2582,Guatemala,2013,All genders,Not applicable,Percent,28.23722,North America
4851,Panama,1982,Male,Not applicable,Percent,28.249679999999998,North America
4854,Panama,1981,Male,Not applicable,Percent,28.259940000000004,North America
2773,Honduras,2008,All genders,Not applicable,Percent,28.283109999999997,North America
2766,Honduras,2010,Male,Not applicable,Percent,28.492559999999997,North America
2583,Guatemala,2013,Female,Not applicable,Percent,28.524279999999997,North America
1978,El Salvador,2002,All genders,Not applicable,Percent,28.70115,North America
1546,Costa Rica,1995,Male,Not applicable,Percent,28.71443,North America
4863,Panama,1978,Male,Not applicable,Percent,28.74676,North America
1550,Costa Rica,1993,Female,Not applicable,Percent,28.823959999999996,North America
2591,Guatemala,2010,Male,Not applicable,Percent,28.843909999999997,North America
2592,Guatemala,2010,All genders,Not applicable,Percent,29.07333,North America
1974,El Salvador,2006,Female,Not applicable,Percent,29.08884,North America
2593,Guatemala,2010,Female,Not applicable,Percent,29.31509,North America
1839,Dominican Republic,1999,All genders,Not applicable,Percent,29.41473,North America
4857,Panama,1980,Male,Not applicable,Percent,29.44697,North America
1547,Costa Rica,1994,Male,Not applicable,Percent,29.693270000000002,North America
1585,Costa Rica,1977,Male,Not applicable,Percent,30.01473,North America
1979,El Salvador,2002,Male,Not applicable,Percent,30.046329999999998,North America
1551,Costa Rica,1993,All genders,Not applicable,Percent,30.072370000000003,North America
1579,Costa Rica,1981,Male,Not applicable,Percent,30.1137,North America
1672,Cuba,1992,All genders,Not applicable,Percent,30.17207,North America
2761,Honduras,2012,All genders,Not applicable,Percent,30.345129999999997,North America
5317,Saint Kitts and Nevis,2009,Female,Not applicable,Percent,30.387620000000002,North America
1975,El Salvador,2005,Female,Not applicable,Percent,30.42785,North America
2764,Honduras,2011,All genders,Not applicable,Percent,30.44255,North America
4871,Panama,1975,Female,Not applicable,Percent,30.75088,North America
4133,Mexico,1984,All genders,Not applicable,Percent,30.99741,North America
1972,El Salvador,2006,All genders,Not applicable,Percent,31.144709999999996,North America
2772,Honduras,2008,Male,Not applicable,Percent,31.2264,North America
1552,Costa Rica,1993,Male,Not applicable,Percent,31.25435,North America
2585,Guatemala,2012,Male,Not applicable,Percent,31.383259999999996,North America
5343,Saint Vincent and the Grenadines,2010,All genders,Not applicable,Percent,31.42725,North America
4872,Panama,1975,All genders,Not applicable,Percent,31.633740000000003,North America
2590,Guatemala,2011,Male,Not applicable,Percent,31.917070000000002,North America
2596,Guatemala,2009,Male,Not applicable,Percent,31.94565,North America
5322,Saint Kitts and Nevis,2007,Female,Not applicable,Percent,31.96412,North America
2595,Guatemala,2009,All genders,Not applicable,Percent,32.01555,North America
2594,Guatemala,2009,Female,Not applicable,Percent,32.101209999999995,North America
2587,Guatemala,2012,All genders,Not applicable,Percent,32.25763,North America
4873,Panama,1975,Male,Not applicable,Percent,32.460640000000005,North America
1981,El Salvador,2001,Female,Not applicable,Percent,32.584579999999995,North America
5320,Saint Kitts and Nevis,2007,All genders,Not applicable,Percent,32.63387,North America
1986,El Salvador,2000,Female,Not applicable,Percent,32.64696,North America
1977,El Salvador,2005,All genders,Not applicable,Percent,32.70668,North America
1844,Dominican Republic,1998,All genders,Not applicable,Percent,32.99889,North America
1973,El Salvador,2006,Male,Not applicable,Percent,33.04487,North America
5321,Saint Kitts and Nevis,2007,Male,Not applicable,Percent,33.09625,North America
2760,Honduras,2012,Male,Not applicable,Percent,33.10717,North America
2586,Guatemala,2012,Female,Not applicable,Percent,33.15224,North America
2588,Guatemala,2011,All genders,Not applicable,Percent,33.27227,North America
1555,Costa Rica,1992,Female,Not applicable,Percent,33.5099,North America
4509,Nicaragua,2001,Female,Not applicable,Percent,33.52219,North America
2765,Honduras,2011,Male,Not applicable,Percent,33.65854,North America
1840,Dominican Republic,1999,Male,Not applicable,Percent,33.721270000000004,North America
1573,Costa Rica,1985,Female,Not applicable,Percent,33.94843,North America
1561,Costa Rica,1989,Female,Not applicable,Percent,34.310590000000005,North America
1556,Costa Rica,1991,Female,Not applicable,Percent,34.50679,North America
2602,Guatemala,2007,Male,Not applicable,Percent,34.50812,North America
2589,Guatemala,2011,Female,Not applicable,Percent,34.64575,North America
1983,El Salvador,2001,All genders,Not applicable,Percent,34.7327,North America
1554,Costa Rica,1992,All genders,Not applicable,Percent,34.81893,North America
1976,El Salvador,2005,Male,Not applicable,Percent,34.82288,North America
1559,Costa Rica,1990,All genders,Not applicable,Percent,34.99836,North America
2601,Guatemala,2007,All genders,Not applicable,Percent,35.20955,North America
2608,Guatemala,2005,Male,Not applicable,Percent,35.354890000000005,North America
1560,Costa Rica,1989,All genders,Not applicable,Percent,35.52391,North America
2609,Guatemala,2004,Male,Not applicable,Percent,35.56257,North America
1575,Costa Rica,1984,All genders,Not applicable,Percent,35.62154,North America
1557,Costa Rica,1991,All genders,Not applicable,Percent,35.77718,North America
1984,El Salvador,2000,All genders,Not applicable,Percent,35.9171,North America
1572,Costa Rica,1985,All genders,Not applicable,Percent,35.921479999999995,North America
2600,Guatemala,2007,Female,Not applicable,Percent,35.95279,North America
1553,Costa Rica,1992,Male,Not applicable,Percent,36.06605,North America
4508,Nicaragua,2001,All genders,Not applicable,Percent,36.11952,North America
2607,Guatemala,2005,All genders,Not applicable,Percent,36.65788,North America
1562,Costa Rica,1989,Male,Not applicable,Percent,36.6783,North America
1982,El Salvador,2001,Male,Not applicable,Percent,36.70408,North America
1564,Costa Rica,1988,Female,Not applicable,Percent,36.71523,North America
1570,Costa Rica,1986,Female,Not applicable,Percent,36.77345,North America
2603,Guatemala,2006,Male,Not applicable,Percent,36.80583,North America
587,Belize,1996,Female,Not applicable,Percent,36.8595,North America
4134,Mexico,1983,All genders,Not applicable,Percent,36.92892,North America
1558,Costa Rica,1991,Male,Not applicable,Percent,36.99048,North America
2610,Guatemala,2004,All genders,Not applicable,Percent,37.3521,North America
589,Belize,1996,All genders,Not applicable,Percent,37.47675,North America
2604,Guatemala,2006,All genders,Not applicable,Percent,37.50607,North America
1567,Costa Rica,1987,Female,Not applicable,Percent,37.55361,North America
1571,Costa Rica,1986,All genders,Not applicable,Percent,37.56612,North America
1565,Costa Rica,1988,All genders,Not applicable,Percent,37.708940000000005,North America
1574,Costa Rica,1985,Male,Not applicable,Percent,37.78451,North America
2614,Guatemala,2001,Male,Not applicable,Percent,37.954840000000004,North America
2606,Guatemala,2005,Female,Not applicable,Percent,38.03711,North America
588,Belize,1996,Male,Not applicable,Percent,38.06153,North America
2605,Guatemala,2006,Female,Not applicable,Percent,38.25512,North America
1569,Costa Rica,1986,Male,Not applicable,Percent,38.321870000000004,North America
1566,Costa Rica,1987,All genders,Not applicable,Percent,38.5779,North America
4507,Nicaragua,2001,Male,Not applicable,Percent,38.60929,North America
1563,Costa Rica,1988,Male,Not applicable,Percent,38.65501,North America
593,Belize,1992,Female,Not applicable,Percent,38.76978,North America
1985,El Salvador,2000,Male,Not applicable,Percent,38.85266,North America
1843,Dominican Republic,1998,Male,Not applicable,Percent,38.99114,North America
5342,Saint Vincent and the Grenadines,2010,Male,Not applicable,Percent,39.06242,North America
2611,Guatemala,2004,Female,Not applicable,Percent,39.24861,North America
595,Belize,1992,All genders,Not applicable,Percent,39.33956,North America
2613,Guatemala,2001,All genders,Not applicable,Percent,39.51027,North America
1568,Costa Rica,1987,Male,Not applicable,Percent,39.5438,North America
592,Belize,1995,Female,Not applicable,Percent,39.65931,North America
594,Belize,1992,Male,Not applicable,Percent,39.88313,North America
590,Belize,1995,All genders,Not applicable,Percent,40.0544,North America
591,Belize,1995,Male,Not applicable,Percent,40.43843,North America
2612,Guatemala,2001,Female,Not applicable,Percent,41.198570000000004,North America
4503,Nicaragua,2003,Female,Not applicable,Percent,41.502990000000004,North America
4135,Mexico,1982,All genders,Not applicable,Percent,42.17411,North America
4510,Nicaragua,2000,Female,Not applicable,Percent,43.81708,North America
1992,El Salvador,1995,Female,Not applicable,Percent,44.69542,North America
4504,Nicaragua,2002,Female,Not applicable,Percent,44.87717,North America
4502,Nicaragua,2003,All genders,Not applicable,Percent,45.138009999999994,North America
4497,Nicaragua,2005,Female,Not applicable,Percent,45.37829,North America
2618,Guatemala,1999,Female,Not applicable,Percent,45.99163,North America
4498,Nicaragua,2004,Female,Not applicable,Percent,46.31248,North America
1993,El Salvador,1993,Female,Not applicable,Percent,46.42467,North America
1990,El Salvador,1995,All genders,Not applicable,Percent,46.83909,North America
2791,Honduras,1994,Female,Not applicable,Percent,47.2331,North America
4136,Mexico,1981,All genders,Not applicable,Percent,47.33396,North America
4491,Nicaragua,2007,Female,Not applicable,Percent,47.51164,North America
2785,Honduras,1996,Female,Not applicable,Percent,47.76413,North America
1999,El Salvador,1991,Female,Not applicable,Percent,47.92106,North America
2615,Guatemala,2000,Male,Not applicable,Percent,48.011340000000004,North America
1838,Dominican Republic,2003,All genders,Not applicable,Percent,48.174640000000004,North America
4511,Nicaragua,2000,All genders,Not applicable,Percent,48.19038,North America
2782,Honduras,1997,Female,Not applicable,Percent,48.206179999999996,North America
2619,Guatemala,1999,All genders,Not applicable,Percent,48.21158,North America
4505,Nicaragua,2002,All genders,Not applicable,Percent,48.23873,North America
1995,El Salvador,1993,All genders,Not applicable,Percent,48.3751,North America
4501,Nicaragua,2003,Male,Not applicable,Percent,48.48297,North America
1991,El Salvador,1995,Male,Not applicable,Percent,48.85426,North America
4499,Nicaragua,2004,All genders,Not applicable,Percent,49.19745,North America
2616,Guatemala,2000,All genders,Not applicable,Percent,49.607279999999996,North America
4515,Nicaragua,1999,Female,Not applicable,Percent,49.6326,North America
4496,Nicaragua,2005,All genders,Not applicable,Percent,49.79572,North America
2001,El Salvador,1991,All genders,Not applicable,Percent,49.85452,North America
2796,Honduras,1992,Female,Not applicable,Percent,49.8618,North America
4137,Mexico,1980,All genders,Not applicable,Percent,49.99021,North America
2620,Guatemala,1999,Male,Not applicable,Percent,50.032309999999995,North America
2795,Honduras,1993,Female,Not applicable,Percent,50.06238,North America
1994,El Salvador,1993,Male,Not applicable,Percent,50.2173,North America
2789,Honduras,1995,Male,Not applicable,Percent,50.242470000000004,North America
1987,El Salvador,1996,Female,Not applicable,Percent,50.96463,North America
2792,Honduras,1994,All genders,Not applicable,Percent,51.11784,North America
2787,Honduras,1995,All genders,Not applicable,Percent,51.26089,North America
4506,Nicaragua,2002,Male,Not applicable,Percent,51.31925,North America
2617,Guatemala,2000,Female,Not applicable,Percent,51.348240000000004,North America
4490,Nicaragua,2007,All genders,Not applicable,Percent,51.59073,North America
2786,Honduras,1996,All genders,Not applicable,Percent,51.608309999999996,North America
2000,El Salvador,1991,Male,Not applicable,Percent,51.68049,North America
2781,Honduras,1997,All genders,Not applicable,Percent,51.70708,North America
1998,El Salvador,1992,Female,Not applicable,Percent,51.7158,North America
4139,Mexico,1978,All genders,Not applicable,Percent,51.7478,North America
4500,Nicaragua,2004,Male,Not applicable,Percent,51.83587,North America
4492,Nicaragua,2006,Female,Not applicable,Percent,51.84603,North America
4142,Mexico,1977,Male,Not applicable,Percent,52.156209999999994,North America
4512,Nicaragua,2000,Male,Not applicable,Percent,52.2339,North America
2788,Honduras,1995,Female,Not applicable,Percent,52.25144,North America
1989,El Salvador,1996,All genders,Not applicable,Percent,52.57516,North America
4140,Mexico,1977,All genders,Not applicable,Percent,52.845769999999995,North America
4138,Mexico,1979,All genders,Not applicable,Percent,53.438069999999996,North America
4141,Mexico,1977,Female,Not applicable,Percent,53.569590000000005,North America
1996,El Salvador,1992,All genders,Not applicable,Percent,53.67029,North America
4495,Nicaragua,2005,Male,Not applicable,Percent,53.77251999999999,North America
2793,Honduras,1993,All genders,Not applicable,Percent,53.95685,North America
1988,El Salvador,1996,Male,Not applicable,Percent,54.05627,North America
4514,Nicaragua,1999,All genders,Not applicable,Percent,54.090869999999995,North America
4521,Nicaragua,1994,Female,Not applicable,Percent,54.73294,North America
2790,Honduras,1994,Male,Not applicable,Percent,54.77855,North America
2783,Honduras,1997,Male,Not applicable,Percent,55.02328000000001,North America
2004,El Salvador,1989,Female,Not applicable,Percent,55.044380000000004,North America
2784,Honduras,1996,Male,Not applicable,Percent,55.25796999999999,North America
4489,Nicaragua,2007,Male,Not applicable,Percent,55.2896,North America
1997,El Salvador,1992,Male,Not applicable,Percent,55.514030000000005,North America
2006,El Salvador,1988,Female,Not applicable,Percent,55.84828,North America
1845,Dominican Republic,1994,All genders,Not applicable,Percent,55.883219999999994,North America
4493,Nicaragua,2006,All genders,Not applicable,Percent,56.145990000000005,North America
4143,Mexico,1976,Male,Not applicable,Percent,56.30195,North America
2798,Honduras,1992,All genders,Not applicable,Percent,56.38329,North America
4145,Mexico,1976,All genders,Not applicable,Percent,56.654230000000005,North America
4148,Mexico,1975,Male,Not applicable,Percent,56.732040000000005,North America
2002,El Salvador,1989,All genders,Not applicable,Percent,57.011390000000006,North America
4144,Mexico,1976,Female,Not applicable,Percent,57.034819999999996,North America
4146,Mexico,1975,All genders,Not applicable,Percent,57.103,North America
4147,Mexico,1975,Female,Not applicable,Percent,57.5031,North America
2010,El Salvador,1987,Female,Not applicable,Percent,57.53091,North America
2794,Honduras,1993,Male,Not applicable,Percent,57.60658000000001,North America
4516,Nicaragua,1995,Female,Not applicable,Percent,57.84435,North America
2007,El Salvador,1988,All genders,Not applicable,Percent,57.85552,North America
2800,Honduras,1991,Male,Not applicable,Percent,58.048519999999996,North America
4513,Nicaragua,1999,Male,Not applicable,Percent,58.17961,North America
4522,Nicaragua,1993,Female,Not applicable,Percent,58.42225,North America
4519,Nicaragua,1994,All genders,Not applicable,Percent,58.6419,North America
2003,El Salvador,1989,Male,Not applicable,Percent,58.87686,North America
2008,El Salvador,1987,All genders,Not applicable,Percent,59.356790000000004,North America
2005,El Salvador,1988,Male,Not applicable,Percent,59.75376,North America
2799,Honduras,1991,All genders,Not applicable,Percent,59.78601,North America
4494,Nicaragua,2006,Male,Not applicable,Percent,59.97308,North America
2621,Guatemala,1996,Male,Not applicable,Percent,60.63896999999999,North America
2009,El Salvador,1987,Male,Not applicable,Percent,61.087959999999995,North America
2801,Honduras,1991,Female,Not applicable,Percent,61.5695,North America
4518,Nicaragua,1995,All genders,Not applicable,Percent,61.61966999999999,North America
2797,Honduras,1992,Male,Not applicable,Percent,61.82317,North America
4520,Nicaragua,1994,Male,Not applicable,Percent,62.40531,North America
2622,Guatemala,1996,All genders,Not applicable,Percent,62.406169999999996,North America
4524,Nicaragua,1993,All genders,Not applicable,Percent,62.71761,North America
4531,Nicaragua,1988,Female,Not applicable,Percent,63.444309999999994,North America
4532,Nicaragua,1987,Female,Not applicable,Percent,64.09206999999999,North America
2623,Guatemala,1996,Female,Not applicable,Percent,64.38311,North America
4517,Nicaragua,1995,Male,Not applicable,Percent,65.21115,North America
2802,Honduras,1984,Female,Not applicable,Percent,65.31565,North America
2022,El Salvador,1981,Female,Not applicable,Percent,65.4614,North America
2020,El Salvador,1981,All genders,Not applicable,Percent,66.18513,North America
4523,Nicaragua,1993,Male,Not applicable,Percent,66.81390999999999,North America
2011,El Salvador,1984,Female,Not applicable,Percent,66.82308,North America
2021,El Salvador,1981,Male,Not applicable,Percent,66.88972,North America
2016,El Salvador,1983,Female,Not applicable,Percent,67.26267,North America
2804,Honduras,1984,All genders,Not applicable,Percent,67.82422,North America
2013,El Salvador,1984,All genders,Not applicable,Percent,68.01592,North America
2807,Honduras,1982,Female,Not applicable,Percent,68.17934,North America
2017,El Salvador,1982,Female,Not applicable,Percent,68.1884,North America
2014,El Salvador,1983,All genders,Not applicable,Percent,68.21125,North America
4529,Nicaragua,1988,All genders,Not applicable,Percent,68.31459,North America
4534,Nicaragua,1987,All genders,Not applicable,Percent,68.77205,North America
2019,El Salvador,1982,All genders,Not applicable,Percent,68.87550999999999,North America
2625,Guatemala,1985,All genders,Not applicable,Percent,69.0403,North America
2015,El Salvador,1983,Male,Not applicable,Percent,69.12393,North America
2012,El Salvador,1984,Male,Not applicable,Percent,69.17288,North America
4525,Nicaragua,1992,All genders,Not applicable,Percent,69.49681,North America
2808,Honduras,1980,Female,Not applicable,Percent,69.5081,North America
2018,El Salvador,1982,Male,Not applicable,Percent,69.53835,North America
2029,El Salvador,1975,All genders,Not applicable,Percent,69.54326,North America
2023,El Salvador,1977,Female,Not applicable,Percent,69.78385,North America
2025,El Salvador,1977,All genders,Not applicable,Percent,69.94955999999999,North America
2024,El Salvador,1977,Male,Not applicable,Percent,70.10443000000001,North America
2803,Honduras,1984,Male,Not applicable,Percent,70.18037,North America
2027,El Salvador,1976,Male,Not applicable,Percent,70.31426,North America
2624,Guatemala,1986,All genders,Not applicable,Percent,70.41663,North America
4528,Nicaragua,1989,All genders,Not applicable,Percent,70.42367,North America
2026,El Salvador,1976,All genders,Not applicable,Percent,70.43743,North America
2805,Honduras,1982,All genders,Not applicable,Percent,70.5538,North America
2028,El Salvador,1976,Female,Not applicable,Percent,70.56744,North America
2738,Haiti,1997,Female,Not applicable,Percent,70.94252,North America
2626,Guatemala,1984,All genders,Not applicable,Percent,71.07847,North America
1846,Dominican Republic,1981,All genders,Not applicable,Percent,71.27065,North America
4526,Nicaragua,1991,All genders,Not applicable,Percent,71.28429,North America
2736,Haiti,1997,All genders,Not applicable,Percent,71.34082,North America
2628,Guatemala,1982,All genders,Not applicable,Percent,71.54986,North America
4537,Nicaragua,1986,Female,Not applicable,Percent,71.55861999999999,North America
2737,Haiti,1997,Male,Not applicable,Percent,71.69645,North America
2639,Guatemala,1976,Female,Not applicable,Percent,71.76080999999999,North America
2638,Guatemala,1976,All genders,Not applicable,Percent,71.90374,North America
2640,Guatemala,1976,Male,Not applicable,Percent,72.02282,North America
2756,Haiti,1979,Female,Not applicable,Percent,72.03902,North America
2754,Haiti,1979,All genders,Not applicable,Percent,72.14967,North America
2810,Honduras,1980,All genders,Not applicable,Percent,72.1518,North America
2755,Haiti,1979,Male,Not applicable,Percent,72.24715,North America
2627,Guatemala,1983,All genders,Not applicable,Percent,72.2518,North America
2630,Guatemala,1980,All genders,Not applicable,Percent,72.37768,North America
4558,Nicaragua,1977,Female,Not applicable,Percent,72.53971999999999,North America
2806,Honduras,1982,Male,Not applicable,Percent,72.77014,North America
4527,Nicaragua,1990,All genders,Not applicable,Percent,72.93838000000001,North America
4553,Nicaragua,1978,Female,Not applicable,Percent,73.00161999999999,North America
4530,Nicaragua,1988,Male,Not applicable,Percent,73.10829,North America
2633,Guatemala,1978,Male,Not applicable,Percent,73.27294,North America
2632,Guatemala,1978,All genders,Not applicable,Percent,73.28586,North America
2634,Guatemala,1978,Female,Not applicable,Percent,73.30113,North America
4533,Nicaragua,1987,Male,Not applicable,Percent,73.30632,North America
2635,Guatemala,1977,Female,Not applicable,Percent,73.38877,North America
2641,Guatemala,1975,All genders,Not applicable,Percent,73.66483000000001,North America
2637,Guatemala,1977,All genders,Not applicable,Percent,73.6771,North America
2631,Guatemala,1979,All genders,Not applicable,Percent,73.72282,North America
2636,Guatemala,1977,Male,Not applicable,Percent,73.91805,North America
2629,Guatemala,1981,All genders,Not applicable,Percent,74.27255,North America
4554,Nicaragua,1978,All genders,Not applicable,Percent,74.48853000000001,North America
2809,Honduras,1980,Male,Not applicable,Percent,74.61379000000001,North America
2751,Haiti,1980,Female,Not applicable,Percent,74.666,North America
2753,Haiti,1980,All genders,Not applicable,Percent,74.72237,North America
2752,Haiti,1980,Male,Not applicable,Percent,74.77111,North America
4557,Nicaragua,1977,All genders,Not applicable,Percent,74.84069000000001,North America
4535,Nicaragua,1986,All genders,Not applicable,Percent,75.41138000000001,North America
4555,Nicaragua,1978,Male,Not applicable,Percent,76.02513,North America
4556,Nicaragua,1977,Male,Not applicable,Percent,77.09795,North America
4543,Nicaragua,1983,Female,Not applicable,Percent,77.47905,North America
4548,Nicaragua,1980,Female,Not applicable,Percent,78.7533,North America
4538,Nicaragua,1984,Female,Not applicable,Percent,78.86059,North America
4536,Nicaragua,1986,Male,Not applicable,Percent,79.10927,North America
4541,Nicaragua,1983,All genders,Not applicable,Percent,79.61595,North America
4544,Nicaragua,1982,Female,Not applicable,Percent,80.81381,North America
4549,Nicaragua,1980,All genders,Not applicable,Percent,81.07604,North America
4540,Nicaragua,1984,All genders,Not applicable,Percent,81.65120999999999,North America
4542,Nicaragua,1983,Male,Not applicable,Percent,81.70849,North America
4551,Nicaragua,1979,Female,Not applicable,Percent,82.31804,North America
2740,Haiti,1986,Male,Not applicable,Percent,82.47338,North America
2741,Haiti,1986,All genders,Not applicable,Percent,82.66765,North America
2739,Haiti,1986,Female,Not applicable,Percent,82.89245,North America
2746,Haiti,1983,Male,Not applicable,Percent,82.94258,North America
4546,Nicaragua,1982,All genders,Not applicable,Percent,83.00668,North America
2749,Haiti,1982,Male,Not applicable,Percent,83.15541,North America
2748,Haiti,1982,All genders,Not applicable,Percent,83.22325,North America
2750,Haiti,1982,Female,Not applicable,Percent,83.30064,North America
4547,Nicaragua,1980,Male,Not applicable,Percent,83.33399,North America
2747,Haiti,1983,All genders,Not applicable,Percent,83.37658,North America
4550,Nicaragua,1979,All genders,Not applicable,Percent,83.8498,North America
2745,Haiti,1983,Female,Not applicable,Percent,83.86147,North America
4539,Nicaragua,1984,Male,Not applicable,Percent,84.28293000000001,North America
2744,Haiti,1985,Female,Not applicable,Percent,84.45782,North America
2742,Haiti,1985,All genders,Not applicable,Percent,84.53178,North America
2743,Haiti,1985,Male,Not applicable,Percent,84.59470999999999,North America
4545,Nicaragua,1982,Male,Not applicable,Percent,85.11617,North America
4552,Nicaragua,1979,Male,Not applicable,Percent,85.34071999999999,North America
2203,Fiji,2011,Female,Not applicable,Percent,1.87946,Oceania
2200,Fiji,2012,Male,Not applicable,Percent,2.04847,Oceania
2245,Fiji,1979,All genders,Not applicable,Percent,2.1377200000000003,Oceania
2199,Fiji,2012,All genders,Not applicable,Percent,2.84524,Oceania
2202,Fiji,2011,All genders,Not applicable,Percent,3.49117,Oceania
2198,Fiji,2012,Female,Not applicable,Percent,3.68836,Oceania
2201,Fiji,2011,Male,Not applicable,Percent,4.97816,Oceania
2210,Fiji,2003,Male,Not applicable,Percent,6.075080000000001,Oceania
5352,Samoa,2006,Female,Not applicable,Percent,6.5488,Oceania
2206,Fiji,2008,Male,Not applicable,Percent,6.56915,Oceania
2208,Fiji,2003,All genders,Not applicable,Percent,7.2073100000000005,Oceania
5361,Samoa,1999,Female,Not applicable,Percent,8.34597,Oceania
